Id,,modularity_class
公共事業関係,,7
日本新生,,7
社会資本,,7
金融システム,,7
我が国経済,,7
経済情勢,,7
財政構造改革,,7
経済新生,,7
情報通信,,7
軸足,,7
構造改革,,7
金融対策,,7
環境対策,,7
発展基盤,,7
個人消費,,7
財政運営,,7
ベンチャー企業,,7
規制緩和,,7
技術開発,,7
生活基盤,,7
個人所得課税,,7
回復軌道,,7
我が国経済社会,,7
科学技術,,7
補正予算,,7
経済再生,,7
日本新生プラン,,7
環境対応,,7
資金供給,,7
経済対策,,7
電子政府,,7
電子商取引,,7
プラス成長,,7
国際競争,,7
経済新生対策,,7
財政赤字,,7
バブル崩壊,,7
予算措置,,7
産業競争,,7
金融機関,,7
金融再生委員,,7
政策効果,,7
緊急経済対策,,7
民需主導,,7
公的資金,,7
経済発展,,7
都市基盤整備,,7
不良債権,,7
予算編成,,7
ミレニアムプロジェクト,,7
経済状況,,7
不良債権処理,,7
地域経済,,7
事業規模,,7
公共投資,,7
技術革新,,7
情報通信技術,,7
世界経済,,7
処分所得,,7
環境整備,,7
規制改革,,7
公債依存,,7
財政事情,,7
アジア諸国,,7
アジア経済,,7
公債発行,,7
財政支出,,7
政府予算,,7
都市基盤,,7
臨時国会,,7
財政危機,,7
我が国財政,,7
財務大臣,,7
法制度,,7
経済効果,,7
安全確保,,7
支援措置,,7
日本社会,,7
概算要求,,7
国会議員,,8
憲法調査,,8
施政方針演説,,8
内閣総理大臣,,8
総理大臣,,8
附帯決議,,8
日本共産党,,8
市民連合,,8
関係大臣,,8
改革クラブ,,8
所信表明演説,,8
学校教育,,8
官房長官,,8
信頼関係,,8
教育改革,,8
高等学校,,8
連立政権,,8
外務大臣,,8
全会一致,,8
提案理由,,8
政治主導,,8
趣旨説明,,8
護憲連合,,8
最終報告,,8
教育基本,,8
中間報告,,8
日米,,8
文部大臣,,8
代表質問,,8
反対討論,,8
意思決定,,8
参議院選挙,,8
記者会見,,8
選挙制度,,8
児童生徒,,8
セーフティーネット,,9
有識者会議,,9
社会保障制度,,9
少子高齢,,9
持続可能,,9
国民生活,,9
経済社会,,9
税制改正,,9
制度改革,,9
地球温暖,,9
国際社会,,9
社会保障,,9
社会保障構造,,9
中高年齢,,9
消費税率,,9
財政状況,,9
国民負担,,9
経済成長,,9
雇用形態,,9
日本国憲法,,9
核家族,,9
安全保障,,9
所信表明,,9
措置制度,,9
少子高齢社会,,9
地球規模,,9
人口構成,,9
社会経済,,9
経済構造,,9
連立内閣,,9
経済活動,,9
厚生行政,,9
構造変化,,9
社会福祉,,9
社会保障給付,,9
社会保障改革,,9
社会保障関係,,9
税制改革,,9
人口構造,,9
地球環境問題,,9
生活水準,,9
終身雇用,,9
社会構造,,9
実施状況,,9
厚生委員,,9
地球環境,,9
日本国民,,9
基本原則,,9
労働行政,,9
先進諸国,,9
赤字国債,,9
高度成長,,9
欧米諸国,,9
