少子高齢	:10.1886769851
施政方針演説	:6.97541692583
診療報酬	:6.94417984391
研究開発	:6.94374007123
安定供給	:6.92158883744
医療機関	:6.92032657999
国土交通省	:6.91868440578
雇用保険	:6.90805228241
経済運営	:6.90499439062
通常国会	:6.90035244139
民主主義	:6.89436217228
基盤整備	:6.89030928959
提案理由	:6.8821414857
金融システム	:6.87627805094
充実強化	:6.86839897344
雇用不安	:6.86492855811
食料自給	:6.8581351168
経済状況	:6.83621860918
予算編成	:6.83097138783
大蔵大臣	:6.80795640557
企業年金	:6.78914133449
不良債権	:6.78607804511
官房長官	:6.78494684308
国家公務員	:6.78444244329
地方財政	:6.77101232268
連立政権	:6.76434957453
基本計画	:6.76228549973
産業構造	:6.74704982902
技術開発	:6.74340887067
特殊法人	:6.737476952
設備投資	:6.70675417222
沖縄サミット	:6.7000315794
緊急経済対策	:6.68976231445
学校教育	:6.68870433398
精神障害	:6.68759154308
現行制度	:6.68354236243
我が国経済社会	:6.67644120551
所得税	:6.65732676235
自己責任	:6.65541340596
医療提供体制	:6.63679439877
農業経営	:6.63363219613
予算委員	:6.6317138928
税方式	:6.63153842871
地球温暖	:6.60912005799
ベンチャー企業	:6.60838279005
社会経済情勢	:6.60673935402
民間企業	:6.59732513794
地域住民	:6.58718199584
知的障害	:6.58632059574
国民負担	:6.58514734764
社会保険方式	:6.58229702389
生活環境	:6.57326597754
男女共同参画	:6.54898813395
経済政策	:6.54281694624
一般会計	:6.5394977792
所信表明	:6.53517044001
改革クラブ	:6.53307719105
公的年金制度	:6.53073498297
社会資本	:6.52536875397
所信表明演説	:6.51743861538
雇用機会	:6.51261358629
制度改正	:6.5086324408
日常生活	:6.49438378001
住宅政策	:6.49330935648
公共投資	:6.48466698057
世界経済	:6.48311593535
労働市場	:6.47257988278
十分配慮	:6.46963087411
制度改革	:6.45313730573
経済対策	:6.45283582078
国際競争	:6.45092127955
財政赤字	:6.43246860357
淡路大震災	:6.42999186396
山間地域	:6.42319413884
経済活動	:6.41939969781
育児休業	:6.41782708722
子育て支援	:6.40875843973
所得保障	:6.39522234407
労働条件	:6.39069386699
創意工夫	:6.38586152437
日本新生	:6.38367452954
臨時国会	:6.35649731284
完全失業	:6.35066345318
市場原理	:6.34793242257
福祉サービス	:6.34062356454
努力義務	:6.33323831471
社会資本整備	:6.32408925969
財務大臣	:6.30347070299
構造変化	:6.29707932754
信頼関係	:6.29582581191
法人税	:6.29318152774
ミスマッチ	:6.28572890834
経済新生対策	:6.27767374877
中小企業対策	:6.27761343682
社会福祉	:6.27622286189
労働大臣	:6.26269239084
社会経済	:6.25999102901
政策課題	:6.25314783678
エンゼルプラン	:6.24692809489
患者負担	:6.24641306843
年金受給	:6.24364323211
自助努力	:6.23604694412
任用制度	:6.23017977552
税制改正	:6.22099647619
国債発行	:6.2171211346
整理合理	:6.18369681743
財政運営	:6.16708142688
自治大臣	:6.14719498726
社会保障構造	:6.12928301694
老後生活	:6.1265655583
能力開発	:6.11790369268
公需	:6.1170100203
交通バリアフリー	:6.11516141165
施設整備	:6.11249200111
ボランティア活動	:6.11249200111
成年後見制度	:6.11144174933
介護認定	:6.10911754337
経済新生	:6.10763277806
報酬比例部分	:6.10568767964
技術革新	:6.10134525752
早期成立	:6.09692809489
調査研究	:6.0894390418
公的資金	:6.08639925727
バブル崩壊	:6.07953894953
平均寿命	:6.07344349371
定期借家	:6.07284752358
経済構造	:6.0721401598
意見陳述	:6.07059596883
予防接種	:6.07007501218
薬価制度	:6.06769274455
自然環境	:6.06608919046
運輸大臣	:6.05987202209
教育基本	:6.05583904002
日本社会	:6.05463298809
都市計画	:6.04938425141
地方公務員	:6.04927494068
予算措置	:6.03938686531
環境保全	:6.03709002101
定率負担	:6.02495717294
年金財政	:6.02460590834
文部大臣	:6.01931391755
公費負担	:6.01906068483
日本国憲法	:6.01158836194
専業主婦	:6.00933146463
核家族	:6.00638769792
地方団体	:5.99984849026
耕作放棄	:5.99937248549
関係機関	:5.99323714941
危機管理	:5.98880815097
公共施設	:5.98812626034
経済発展	:5.97070163063
特別措置	:5.96581964522
定年退職	:5.96277754745
法整備	:5.95256402091
特例措置	:5.95209908924
医療制度改革	:5.95150800732
合計特殊出生	:5.95004862369
有効利用	:5.94852109894
全国各地	:5.94553389175
地方税	:5.94438573307
福祉施設	:5.93541922774
国民健康保険	:5.93241757409
最終報告	:5.92318199815
自主運用	:5.92077413364
確定拠出	:5.92033713837
意見交換	:5.91683545911
年金改正	:5.91376278849
規制改革	:5.91096194213
雇用問題	:5.90951673544
税負担	:5.90707177009
経済再生	:5.90625
生活基盤	:5.90071158837
厚生行政	:5.89517010677
行政サービス	:5.89214722366
議員立法	:5.88698471285
年金改革	:5.8855937744
実施状況	:5.88264304936
安全確保	:5.88158048831
農業生産	:5.86640482635
介護休業	:5.86572665538
省庁再編	:5.86069357774
経済戦略会議	:5.85964100023
雇用失業情勢	:5.85673159992
過疎地域	:5.8524285324
ミレニアムプロジェクト	:5.8521687236
扶養控除	:5.84744307693
確定拠出年金	:5.84550790314
公団住宅	:5.84529510129
中高年齢	:5.84275540404
生活保護	:5.8405525168
交通事業	:5.84035875639
護憲連合	:5.84022392894
特別会計	:5.83608031846
厚生年金基金	:5.82333073174
情報通信技術	:5.81854976477
周知徹底	:5.81601624266
農業基本	:5.81522469038
消費税率	:5.81171895049
厚生委員	:5.8116556721
雇用環境	:5.8116556721
外務大臣	:5.80986239364
地方自治	:5.80753692366
実態調査	:5.80698319764
世論調査	:5.80656742347
日本新生プラン	:5.80196987693
市民連合	:5.79290598781
雇用安定	:5.79290598781
人口構成	:5.78890976556
都市基盤整備	:5.78094813411
農村基本	:5.78094813411
基本構想	:5.77669167437
生活支援	:5.764600313
老人保健制度	:5.7602291572
生活水準	:5.75488750216
農林水産大臣	:5.75023540419
雇用形態	:5.74879146778
保育サービス	:5.74840982437
農林水産	:5.74784288071
労働移動	:5.74544473611
電子政府	:5.74544473611
不良債権処理	:5.74504777248
最大限努力	:5.74499607716
先進諸国	:5.74022392894
産業競争	:5.73948962655
福祉目的税	:5.73881757266
概算要求	:5.73401602609
政府予算	:5.72806205286
社会構造	:5.72792045456
文部科学	:5.725502124
ひとり暮らし	:5.72243539409
地球環境	:5.72164082113
中央省庁再編	:5.72004996064
年金給付	:5.71862319041
災害対策	:5.71519702621
確定給付	:5.7092118439
全会一致	:5.70689059561
緊急雇用対策	:5.70594747156
交付税	:5.70338928485
労働組合	:5.70121780439
農山漁村	:5.69992677787
人口構造	:5.69156563779
人材育成	:5.68885393589
社会保障改革	:5.6875
憲法調査	:5.68736464562
特別対策	:5.68633294926
日米	:5.68395618938
鉄道事業	:5.67305554573
税制改革	:5.67226880443
選挙制度	:5.66549774362
条件整備	:5.66197817968
日本国民	:5.66197817968
法制度	:5.65745141767
記者会見	:5.65745141767
地方交付税	:5.65231531282
支援措置	:5.65169812487
家庭生活	:5.65101764523
環境対応	:5.64385618977
国民各層	:5.62351664122
民間事業	:5.622617096
再発防止	:5.62217994076
中心市街地	:5.62122954249
趣旨説明	:5.61298251027
市町村合併	:5.61090496044
優良賃貸住宅	:5.61075415915
地域経済	:5.60912005799
高額療養	:5.60390363356
反対討論	:5.60385618977
体制整備	:5.60385618977
児童生徒	:5.60358638302
経済産業	:5.60043230254
中間報告	:5.59727631626
交通機関	:5.59306920777
平均年齢	:5.59306920777
社会福祉法人	:5.58984866481
独立行政法人	:5.58787331851
建設大臣	:5.58583862684
後期高齢	:5.58172767887
財政方式	:5.5795890738
医療改革	:5.5781180752
民需主導	:5.57389351758
個人所得課税	:5.55735492206
公共賃貸住宅	:5.55415898086
財政支援	:5.54329583405
地方行政	:5.54329583405
在宅サービス	:5.54243140854
予算配分	:5.53484147168
財政事情	:5.53462086578
地球規模	:5.53307719105
関連法案	:5.53207649695
関係団体	:5.53207649695
電子商取引	:5.52160556402
最高税率	:5.51315340892
両立支援	:5.51308903167
医療サービス	:5.50976169343
日本政府	:5.50887079645
診療報酬体系	:5.50816050238
高度成長	:5.50076088114
基本法案	:5.49521915908
情報開示	:5.49361495848
家族介護	:5.49361495848
行財政改革	:5.49226086452
我が国農業	:5.49045062262
公益法人	:5.48417228658
法律改正	:5.48164884472
判断能力	:5.47614711554
意思決定	:5.47137758315
基本政策	:5.46876918079
財政基盤	:5.46875843973
年齢制限	:5.46090276852
民間活力	:5.45943161864
国庫負担割合	:5.45719885417
賦課方式	:5.45555073896
自分自身	:5.45515342002
積立方式	:5.44896250019
消費支出	:5.43632093789
生活空間	:5.4360386706
アジア諸国	:5.42692927721
社会生活	:5.42692927721
労働行政	:5.42663653163
金融対策	:5.4262647547
有効求人倍率	:5.42603366211
金融資産	:5.42043782111
財政負担	:5.41669188156
自己決定	:5.41637567641
国民医療	:5.41183738259
住宅建設	:5.41062821146
党合意	:5.40719418072
高度情報	:5.40296420744
負担能力	:5.40256901109
プラス成長	:5.40256901109
金融再生委員	:5.40101764523
環境対策	:5.39522234407
年金積立	:5.39363360874
コスト意識	:5.38367452954
中小零細企業	:5.37878349349
職業生活	:5.3782303431
安定確保	:5.3776856773
高額所得	:5.37662916739
居住環境	:5.37405465264
政府参考	:5.36981188493
措置制度	:5.36930425037
財政危機	:5.36763448621
生活実態	:5.35440601754
生活習慣	:5.350561964
地域振興	:5.34964891258
待機児童	:5.34919993935
職業訓練	:5.34875843973
全国平均	:5.33900015015
健全育成	:5.33834309158
代表質問	:5.33324149889
公共事業関係	:5.3289955584
資金供給	:5.32306798227
同僚議員	:5.32192809489
信頼回復	:5.30877151681
終身雇用	:5.30783248274
連立内閣	:5.30689059561
高等学校	:5.30468244977
国家公安委員	:5.29926970274
政治主導	:5.29730004073
社会保障関係	:5.29730004073
優遇措置	:5.29329583405
社会保障給付	:5.2890913543
財政措置	:5.28672987098
国家国民	:5.27761343682
私的年金	:5.27703098403
公務部門	:5.27277336448
新規産業	:5.27277336448
我が国財政	:5.27192809489
アジア経済	:5.27192809489
欧米諸国	:5.26917434768
年金基金	:5.2691462205
所得水準	:5.26184218813
職業能力開発	:5.25999102901
参議院選挙	:5.25736749709
経済効果	:5.25343438619
事業規模	:5.24946027992
マイナス成長	:5.24946027992
公債依存	:5.24946027992
基本原則	:5.24792751344
金融市場	:5.24792751344
保佐	:5.24574349505
保険方式	:5.24157913871
年金保険	:5.24065507504
一般会計予算	:5.24021824307
資金調達	:5.24021824307
軸足	:5.23412016758
関係法律	:5.23215889136
都市基盤	:5.23215889136
地球環境問題	:5.23148676797
赤字国債	:5.22625107722
維持管理	:5.22266271977
行政機関	:5.22266271977
国際協力	:5.22192809489
新規就農	:5.22144176916
携帯電話	:5.21500235722
財政支出	:5.21451309974
処分所得	:5.20949121502
財政投融資計画	:5.20043971814
土地利用	:5.19810188355
交通事故	:5.19806851206
内閣官房	:5.19664764577
国会審議	:5.1952959345
有効活用	:5.1952959345
政策効果	:5.19279865091
サービス残業	:5.19107478873
公債発行	:5.18670434591
経営環境	:5.18386772035
経過措置	:5.1828381163
